2022-01-29 18:48:19 startup archives unpack
2022-01-29 18:48:21 install notification-daemon:armhf <none> 3.20.0-4
2022-01-29 18:48:21 status half-installed notification-daemon:armhf 3.20.0-4
2022-01-29 18:48:21 status triggers-pending gnome-menus:armhf 3.31.4-3
2022-01-29 18:48:22 status triggers-pending desktop-file-utils:armhf 0.23-4
2022-01-29 18:48:22 status triggers-pending mime-support:all 3.62
2022-01-29 18:48:22 status unpacked notification-daemon:armhf 3.20.0-4
2022-01-29 18:48:25 install libappindicator3-1:armhf <none> 0.4.92-7
2022-01-29 18:48:25 status triggers-pending libc-bin:armhf 2.28-10+rpt2+rpi1
2022-01-29 18:48:25 status half-installed libappindicator3-1:armhf 0.4.92-7
2022-01-29 18:48:25 status unpacked libappindicator3-1:armhf 0.4.92-7
2022-01-29 18:48:25 install gir1.2-appindicator3-0.1:armhf <none> 0.4.92-7
2022-01-29 18:48:25 status half-installed gir1.2-appindicator3-0.1:armhf 0.4.92-7
2022-01-29 18:48:25 status unpacked gir1.2-appindicator3-0.1:armhf 0.4.92-7
2022-01-29 18:48:25 install blueman:armhf <none> 2.0.8-1+deb10u1
2022-01-29 18:48:25 status half-installed blueman:armhf 2.0.8-1+deb10u1
2022-01-29 18:48:25 status triggers-pending dbus:armhf 1.12.20-0+deb10u1
2022-01-29 18:48:26 status triggers-pending libglib2.0-0:armhf 2.58.3-2+deb10u2
2022-01-29 18:48:26 status triggers-pending hicolor-icon-theme:all 0.17-2
2022-01-29 18:48:35 status triggers-pending man-db:armhf 2.8.5-2
2022-01-29 18:48:36 status unpacked blueman:armhf 2.0.8-1+deb10u1
2022-01-29 18:48:39 startup packages configure
2022-01-29 18:48:39 configure notification-daemon:armhf 3.20.0-4 <none>
2022-01-29 18:48:39 status unpacked notification-daemon:armhf 3.20.0-4
2022-01-29 18:48:39 status half-configured notification-daemon:armhf 3.20.0-4
2022-01-29 18:48:39 status installed notification-daemon:armhf 3.20.0-4
2022-01-29 18:48:39 configure libappindicator3-1:armhf 0.4.92-7 <none>
2022-01-29 18:48:39 status unpacked libappindicator3-1:armhf 0.4.92-7
2022-01-29 18:48:39 status half-configured libappindicator3-1:armhf 0.4.92-7
2022-01-29 18:48:39 status installed libappindicator3-1:armhf 0.4.92-7
2022-01-29 18:48:39 configure gir1.2-appindicator3-0.1:armhf 0.4.92-7 <none>
2022-01-29 18:48:39 status unpacked gir1.2-appindicator3-0.1:armhf 0.4.92-7
2022-01-29 18:48:39 status half-configured gir1.2-appindicator3-0.1:armhf 0.4.92-7
2022-01-29 18:48:39 status installed gir1.2-appindicator3-0.1:armhf 0.4.92-7
2022-01-29 18:48:39 configure blueman:armhf 2.0.8-1+deb10u1 <none>
2022-01-29 18:48:39 status unpacked blueman:armhf 2.0.8-1+deb10u1
2022-01-29 18:48:40 status half-configured blueman:armhf 2.0.8-1+deb10u1
2022-01-29 18:48:40 status triggers-awaited blueman:armhf 2.0.8-1+deb10u1
2022-01-29 18:48:40 trigproc dbus:armhf 1.12.20-0+deb10u1 <none>
2022-01-29 18:48:40 status half-configured dbus:armhf 1.12.20-0+deb10u1
2022-01-29 18:48:40 status installed dbus:armhf 1.12.20-0+deb10u1
2022-01-29 18:48:40 trigproc desktop-file-utils:armhf 0.23-4 <none>
2022-01-29 18:48:40 status half-configured desktop-file-utils:armhf 0.23-4
2022-01-29 18:48:41 status installed desktop-file-utils:armhf 0.23-4
2022-01-29 18:48:41 trigproc mime-support:all 3.62 <none>
2022-01-29 18:48:41 status half-configured mime-support:all 3.62
2022-01-29 18:48:41 status installed mime-support:all 3.62
2022-01-29 18:48:42 trigproc hicolor-icon-theme:all 0.17-2 <none>
2022-01-29 18:48:42 status half-configured hicolor-icon-theme:all 0.17-2
2022-01-29 18:48:55 status installed hicolor-icon-theme:all 0.17-2
2022-01-29 18:48:56 trigproc gnome-menus:armhf 3.31.4-3 <none>
2022-01-29 18:48:56 status half-configured gnome-menus:armhf 3.31.4-3
2022-01-29 18:48:56 status installed gnome-menus:armhf 3.31.4-3
2022-01-29 18:48:56 trigproc libglib2.0-0:armhf 2.58.3-2+deb10u2 <none>
2022-01-29 18:48:56 status half-configured libglib2.0-0:armhf 2.58.3-2+deb10u2
2022-01-29 18:48:56 status installed blueman:armhf 2.0.8-1+deb10u1
2022-01-29 18:48:56 status installed libglib2.0-0:armhf 2.58.3-2+deb10u2
2022-01-29 18:48:56 trigproc libc-bin:armhf 2.28-10+rpt2+rpi1 <none>
2022-01-29 18:48:56 status half-configured libc-bin:armhf 2.28-10+rpt2+rpi1
2022-01-29 18:48:57 status installed libc-bin:armhf 2.28-10+rpt2+rpi1
2022-01-29 18:48:58 trigproc man-db:armhf 2.8.5-2 <none>
2022-01-29 18:48:58 status half-configured man-db:armhf 2.8.5-2
2022-01-29 18:48:58 status installed man-db:armhf 2.8.5-2
2022-01-29 18:51:54 startup archives unpack
2022-01-29 18:51:57 upgrade firmware-atheros:all 1:20190114-2+rpt3 1:20190114-2+rpt4
2022-01-29 18:51:57 status half-configured firmware-atheros:all 1:20190114-2+rpt3
2022-01-29 18:51:57 status unpacked firmware-atheros:all 1:20190114-2+rpt3
2022-01-29 18:51:57 status half-installed firmware-atheros:all 1:20190114-2+rpt3
2022-01-29 18:52:07 status unpacked firmware-atheros:all 1:20190114-2+rpt4
2022-01-29 18:52:09 upgrade firmware-brcm80211:all 1:20190114-2+rpt3 1:20190114-2+rpt4
2022-01-29 18:52:09 status half-configured firmware-brcm80211:all 1:20190114-2+rpt3
2022-01-29 18:52:09 status unpacked firmware-brcm80211:all 1:20190114-2+rpt3
2022-01-29 18:52:09 status half-installed firmware-brcm80211:all 1:20190114-2+rpt3
2022-01-29 18:52:15 status unpacked firmware-brcm80211:all 1:20190114-2+rpt4
2022-01-29 18:52:15 upgrade firmware-libertas:all 1:20190114-2+rpt3 1:20190114-2+rpt4
2022-01-29 18:52:15 status half-configured firmware-libertas:all 1:20190114-2+rpt3
2022-01-29 18:52:15 status unpacked firmware-libertas:all 1:20190114-2+rpt3
2022-01-29 18:52:15 status half-installed firmware-libertas:all 1:20190114-2+rpt3
2022-01-29 18:52:34 status unpacked firmware-libertas:all 1:20190114-2+rpt4
2022-01-29 18:52:35 upgrade firmware-misc-nonfree:all 1:20190114-2+rpt3 1:20190114-2+rpt4
2022-01-29 18:52:35 status half-configured firmware-misc-nonfree:all 1:20190114-2+rpt3
2022-01-29 18:52:35 status unpacked firmware-misc-nonfree:all 1:20190114-2+rpt3
2022-01-29 18:52:35 status half-installed firmware-misc-nonfree:all 1:20190114-2+rpt3
2022-01-29 18:53:10 status unpacked firmware-misc-nonfree:all 1:20190114-2+rpt4
2022-01-29 18:53:10 upgrade firmware-realtek:all 1:20190114-2+rpt3 1:20190114-2+rpt4
2022-01-29 18:53:10 status half-configured firmware-realtek:all 1:20190114-2+rpt3
2022-01-29 18:53:10 status unpacked firmware-realtek:all 1:20190114-2+rpt3
2022-01-29 18:53:10 status half-installed firmware-realtek:all 1:20190114-2+rpt3
2022-01-29 18:53:12 status unpacked firmware-realtek:all 1:20190114-2+rpt4
2022-01-29 18:53:12 upgrade ghostscript:armhf 9.27~dfsg-2+deb10u4 9.27~dfsg-2+deb10u5
